rank,team_id,team,,tier,hltv_id,slug
9999,10862,elevate-female,,5,,
9999,10866,super-heroes-in-training,,5,,
9999,10868,arc-gaming-aegis-response-command,,5,,
9999,10869,team-cronos,,5,,
9999,10879,filhos-da-m-e,,5,,
9999,10882,teamownerdk,,5,,
9999,10894,noiz-bomb,,5,,
9999,10898,gaming,,5,,
9999,10899,classyplebs,,5,,
9999,10905,stainless-lions,,5,,
9999,10911,illusive-e-sports,,5,,
9999,10913,nakurwiacze-szalonego,,5,,
9999,10914,swedishbulldogs,,5,,
9999,10916,paradox-pro,,5,,
9999,10921,romaniancl,,5,,
9999,10927,the-sky-gators,,5,,
9999,10928,team-wicked-5,,5,,
9999,10930,fuse-gaming,,5,,
9999,10931,divinity-cs,,5,,
9999,10932,o-o,,5,,
9999,10938,teamwisp,,5,,
9999,10959,kristian,,5,,
9999,10964,invictum-phoenix,,5,,
9999,10965,ox-gaming,,5,,
9999,10983,gray-wolves-esports,,5,,
9999,10990,global-virus,,5,,
9999,11001,emim,,5,,
9999,11003,zoulou-3-party,,5,,
9999,11009,mama-jumz-s-army,,5,,
9999,11019,games-attached,,5,,
9999,11031,system-gamers,,5,,
9999,11034,radioactive-wolves,,5,,
9999,11036,team-bravo,,5,,
9999,11044,faytel,,5,,
9999,11049,team-e-mper,,5,,
9999,11058,snap-cs,,5,,
9999,11064,natus-real,,5,,
9999,11066,team-linus,,5,,
9999,11069,everything-or-nothing,,5,,
9999,11078,massiveknights,,5,,
9999,11080,team-fuzed,,5,,
9999,11083,the-goon-squad,,5,,
9999,11087,un-ted-f-ve,,5,,
9999,11095,veruj-bratu,,5,,
9999,11101,hot-gaming-pl,,5,,
9999,11102,team-faststrike,,5,,
9999,11103,igneapantheras,,5,,
9999,11113,electronauts,,5,,
9999,11114,airforce,,5,,
9999,11119,hero,,5,,
9999,11120,beyond-the-competition,,5,,
9999,11123,team-nexus,,5,,
9999,11125,cerberus-rage-esports,,5,,
9999,11131,secondwind,,5,,
9999,11134,ego-prox,,5,,
9999,11136,sw1pe,,5,,
9999,11137,5starseasyshooter-s,,5,,
9999,11146,impact-multigaming,,5,,
9999,11147,turkey-cs-2015,,5,,
9999,11150,invictus-sports,,5,,
9999,11151,white-lie,,5,,
9999,11157,teamdevil,,5,,
9999,11168,warblazed,,5,,
9999,11170,spoon-clan,,5,,
9999,11171,li0ns-pro,,5,,
9999,11181,3mini,,5,,
9999,11183,game-of-warfare,,5,,
9999,11186,ra4w-enforcements,,5,,
9999,11187,ranzey,,5,,
9999,11191,squirrely-woodies,,5,,
9999,11197,slizer-s,,5,,
9999,11207,jail14,,5,,
9999,11218,r,,5,,
9999,11222,ninehexagon,,5,,
9999,11224,stars-of-andromeda,,5,,
9999,11227,fragvision-cs,,5,,
9999,11235,death-virus,,5,,
9999,11237,ingenting,,5,,
9999,11241,nekottack,,5,,
9999,11243,teamdarkside,,5,,
9999,11244,invision,,5,,
9999,11246,theredmonkeys,,5,,
9999,11247,gangsta-fox,,5,,
9999,11248,all-american-operations,,5,,
9999,11251,35-clan,,5,,
9999,11254,immortals,,5,,
9999,11258,isp18-com,,5,,
9999,11259,th3conspiracy,,5,,
9999,11260,highfive-gaming,,5,,
9999,11264,sameguys-gaming,,5,,
9999,11266,fragnauts,,5,,
9999,11269,hectick,,5,,
9999,11271,team-kraken-cs,,5,,
9999,11301,fading-sun,,5,,
9999,11335,fnitas-gaming,,5,,
9999,11336,pure-magic,,5,,
9999,11341,aether,,5,12908,aether
9999,11347,asgardgaming,,5,,
9999,11358,xxx420nautsxxx,,5,,
9999,11363,moribund-esports,,5,,
9999,11364,theoneandonly,,5,,
9999,11377,tenho,,5,,
9999,11385,aye-aye-hunters,,5,,
9999,11388,neve-back-down,,5,,
9999,11392,topform-pro,,5,,
9999,11402,teamdeadlynoobsbelgium,,5,,
9999,11411,drunkvikings,,5,,
9999,11436,the-group-otaku-only-knows-ph,,5,,
9999,11445,shoot-me-i-m-famous,,5,,
9999,11451,rdyonice,,5,,
9999,11452,nimbusfive,,5,,
9999,11455,team-oveis,,5,,
9999,11460,kvintis,,5,,
9999,11462,gladex,,5,,
9999,11480,clan-cabezabote,,5,,
9999,11483,paradoxe-bulgaria,,5,,
9999,11488,geldspeicher,,5,,
9999,11492,team-katya,,5,,
9999,11505,badasduck,,5,,
